0.00000	2.75271	-1.05399
0.00167	3.03785	-1.01972
0.00333	3.01791	-0.71730
0.00500	2.84736	-0.58875
0.00667	4.33711	-1.15842
0.00833	4.24946	-0.30659
0.01000	3.86392	0.64402
0.01167	3.52540	1.59779
0.01333	4.81625	1.45115
0.01500	4.77414	1.51522
0.01667	4.16849	1.77073
0.01833	4.24719	1.33146
0.02000	2.85510	0.86407
0.02167	3.03161	0.87825
0.02333	2.77816	1.28575
0.02500	3.67928	1.42165
0.02667	5.09127	1.55502
0.02833	5.00427	1.23442
0.03000	5.12412	1.12846
0.03167	4.46294	0.72328
0.03333	4.29925	0.29471
0.03500	4.63409	0.83252
0.03667	4.87657	0.28211
0.03833	3.90167	0.05627
0.04000	4.48459	1.28970
0.04166	3.89265	0.79353
0.04333	3.02049	1.03497
0.04500	3.91871	1.40096
0.04666	3.87052	2.15375
0.04833	3.84779	1.54576
0.05000	3.81279	0.96001
0.05166	3.91446	1.09080
0.05333	4.05447	0.85836
0.05500	4.36391	-0.16592
0.05666	4.53576	0.10752
0.05833	4.60011	0.07171
0.06000	5.56862	0.23645
0.06166	4.66235	0.33351
0.06333	3.78767	-0.88529
0.06500	4.70513	-0.16079
0.06666	3.47271	0.57546
0.06833	3.59544	0.86295
0.07000	3.29870	0.35462
0.07166	3.76976	0.72721
0.07333	3.88707	-0.13639
0.07500	3.76658	0.89311
0.07666	3.15787	0.77455
0.07833	2.72259	-0.36346
0.08000	2.17007	-0.24551
0.08166	3.97477	1.78103
0.08333	3.81814	1.17377
0.08500	4.01599	1.33560
0.08666	4.28559	1.34665
0.08833	3.50161	1.38440
0.09000	2.19002	0.59287
0.09166	3.91079	-0.01359
0.09333	4.32364	0.15302
0.09500	3.02258	0.05217
0.09666	2.61397	0.11996
0.09833	2.20564	0.27243
0.10000	1.64560	0.12698
0.10166	2.25680	0.85021
0.10333	2.58198	0.18885
0.10500	1.77671	-0.18463
0.10666	3.03223	-0.16842
0.10833	2.81771	-0.69158
0.11000	3.24049	-0.18472
0.11166	4.21017	-0.58058
0.11333	3.94988	-0.85588
0.11500	3.03835	-0.81698
0.11666	2.82372	-0.25565
0.11833	1.75284	-0.04569
0.12000	2.47688	1.50794
0.12166	5.32627	1.16266
0.12333	3.42800	1.19792
0.12500	2.59788	0.14901
0.12666	2.66000	-0.52291
0.12833	2.06838	-0.26637
0.12999	2.26085	0.98061
0.13166	2.25104	1.12978
